Kode,village,longitude,latitude,EC,TDS,F,NO3,pH
85,Argonda,78.272,18.234,1461,935.04,1.55,1020.885,8.31
86,Reddypet,78.417,18.409,842,538.88,0.74,2856.705,7.72
87,Sadasivanagar,78.264,18.406,812,519.68,0.99,256.882,7.95
88,Yerrapahad,78.223,18.293,934,597.76,0.75,1319.842,7.59
89,Rukmapur,79.1461,18.5334,512,327.68,0.41,3450.191,7.63
90,Gangadhara,79.00889,18.57944,601,384.64,1.46,2520.101,8.2
91,Huzurabad,79.40757,18.18949,727,465.28,1.21,4331.562,7.87
92,Saidapur,79.30517,18.2148,670,428.8,3.84,372.036,8.02
93,Alugunur,79.15123,18.40087,491,314.24,1.26,2059.485,7.75
94,Mustikunta,80.22314,17.04081,2428,1553.92,0.36,354.32,7.69
95,Kallur,80.5467,17.21,1608,1029.12,0.77,938.948,8.25
96,Kothalingala,80.2378,17.42945,958,613.12,0.94,3571.989,8.68
97,M.V.Palem,80.0969,17.2967,2080,1331.2,0.36,3908.593,8.12
98,Khammam I,80.1333,17.2333,902,577.28,1.5,150.586,8.68
99,Khammam-II,80.1436,17.2525,1507,964.48,0.69,1122.752,8.47
100,Konijerla,80.2908,17.2211,1041,666.24,0.69,3620.708,8.59
101,Kusumanchi,79.9583,17.2208,732,468.48,0.89,159.444,8.39
102,Mudigonda,80.0986,17.1875,1095,700.8,0.54,1873.467,8.41
103,Prakashnagar,80.8942,17.1942,598,382.72,0.99,8304.375,8.99
104,Anjanapuram,80.4625,17.2147,1639,1048.96,1.18,66.435,8.82
105,Bachode,79.9006,17.2997,1240,793.6,0.85,66.435,8.5
106,Tirumalayapalem,80.0509,17.31745,1349,863.36,0.49,2830.131,8.16
107,Vemsur,80.805,17.1442,1454,930.56,0.47,119.583,8.09
108,Banigandlapadu,80.48,16.86,1375,880,0.97,8835.855,8.81
109,Asifabad,79.28607,19.35962,1595,1020.8,1.35,686.495,8.01
110,Kagaznagar,79.497,19.35571,815,521.6,1.14,3826.656,7.65
111,Kerameri,79.05625,19.444,883,565.12,0.42,4154.402,7.9
112,Kowthala,79.7324,19.5219,656,419.84,0.56,1966.476,8.22
113,Rebbena II,79.41597,19.257,1483,949.12,1.14,806.078,7.72
114,Tiryani,79.27225,19.17447,1072,686.08,0.75,2515.672,8
115,Dhantalapally,79.7347,17.5147,1890,1209.6,2.1,673.208,7.69
116,Mannegudem,80.04388,17.37412,920,588.8,2.96,1430.567,8.19
117,Kesamudram,79.9069,17.6816,1690,1081.6,0.9,2143.636,7.89
118,Ayyagaripally,79.9886,17.503,1920,1228.8,1.23,1147.111,8.15
119,Mahabubabad,80.0011,17.5983,2030,1299.2,1.04,894.658,7.77
120,Marripeda,79.8941,17.3852,1930,1235.2,1.01,124.012,8.29
121,Nellikudur,79.7597,17.5897,1161,743.04,2.45,757.359,8.26
122,Torrur,79.6611,17.5836,999,639.36,0.9,1629.872,8.27
123,Elkicherla,78.116,16.623,822,526.08,1.13,465.045,8.25
124,Damagnapur,77.7554,16.4997,920,588.8,0.58,243.595,8.79
125,Kurumurthy,77.81676,16.44144,997,638.08,1.46,863.655,8.36
126,Thirmalapur,77.82427,16.48271,760,486.4,0.71,199.305,8.66
127,Devarakadra,77.83284,16.6058,1135,726.4,2.62,2192.355,8.89
128,Hanwada,77.89725,16.80838,1690,1081.6,0.4,208.163,8.2
129,Jadcherla,78.1224,16.77418,1734,1109.76,0.99,775.075,7.53
130,Dammaipally,77.89946,16.75999,1704,1090.56,0.52,952.235,8.06
131,Kodur,77.924,16.68,1072,686.08,1.38,234.737,8.44
132,Yenugonda,78.02098,16.76129,2000,1280,1.2,101.867,7.89
133,Kothapalli,78.2315,16.7506,2335,1494.4,1.01,1970.905,8.25
134,Nawabpet,78.0239,16.888,1896,1213.44,1.6,1074.033,8.12
135,Bellampally I,79.50311,19.07203,1168,747.52,0.51,1926.615,7.45
136,Chennur I,79.78022,18.85222,794,508.16,1.04,1080.676,7.87
137,Jaipur,79.57997,18.84428,2920,1868.8,1.21,199.305,8.1
138,Mandamarri,79.47785,18.97868,1546,989.44,0.92,2028.482,7.7
139,Tandur,79.45625,19.15787,804,514.56,0.85,2338.512,8.11
140,Neelwai,79.81505,19.04799,490,313.6,0.76,17.716,7.97
141,Chegunta,78.5186,17.9341,687,439.68,2.43,1040.815,8.51
142,Mutayapally,78.2189,18.0845,859,549.76,1.12,217.021,8.29
143,Rangampet,78.1176,17.9451,722,462.08,0.97,996.525,7.98
144,Medak,78.2708,18.0528,789,504.96,0.84,150.586,8.37
145,Narasapur,78.2819,17.735,1309,837.76,1.01,66.435,7.59
146,Reddypally,78.2633,17.7856,1831,1171.84,0.95,695.353,7.71
147,Papannapet,78.08535,18.04217,1107,708.48,1.15,1439.425,8.39
148,T.lingampally,77.82796,17.94335,789,504.96,0.87,270.169,9.19
149,Gavvalapalli,77.9172,18.0517,747,478.08,1.44,318.888,8.38
150,Shankarampet,78.372,17.971,2570,1644.8,0.57,256.882,7.65
151,Gudur,78.3674,17.7817,876,560.64,0.79,208.163,8.52
152,Usrikapally,78.3949,17.8211,1378,881.92,1.01,31.003,8.09
153,Tekmal,78.0304,17.9754,569,364.16,0.98,509.335,8.8
154,Islampur,78.4746,17.8772,388,248.32,2.2,101.867,7.27
155,Toopran,78.4775,17.8413,2580,1651.2,0.34,4539.725,7.45
156,Edulapally,78.3492,17.9672,1303,833.92,1.36,97.438,7.42
157,Kukunoor,78.3208,17.9146,382,244.48,0.77,243.595,7.69
158,Ramayapally,78.3213,17.9453,509,325.76,0.81,110.725,7.93
159,Old Alwal,78.508,17.494,1420,908.8,1.97,2280.935,7.61
160,Balanagar 1,78.45,17.47,1792,1146.88,1.38,39.861,7.91
161,Kaithalapur,78.4,17.47,2580,1651.2,1,159.444,7.98
162,Kukatpally 1,78.397,17.481,404,258.56,0.45,26.574,7.59
163,Malkajgiri,78.535,17.449,1223,782.72,2.24,132.87,7.36
164,Gajularamaram 2,78.42,17.53,1130,723.2,1.2,35.432,7.55
165,Qutubullapur 2,78.46,17.5,740,473.6,1.32,44.29,8.02
166,Shapurnagar,78.44,17.54,1285,822.4,0.94,35.432,7.4
167,Eturu Nagaram (D),80.44002,18.35965,310,198.4,0.12,3217.031,7.99
168,Eturu Nagaram (S),80.4232,18.3374,315,201.6,0.11,3491.655,7.88
169,Pasra,80.17152,18.20744,1576,1008.64,1.08,5492.491,8.25
170,Project Nagar,80.1944,18.2616,510,326.4,0.2,1961.604,7.95
171,Balmur,78.56638,16.33113,1436,919.04,0.75,686.495,7.52
172,Bijinepalli,78.19642,16.53528,1280,819.2,0.54,110.725,7.52
173,Kalwakuthy,78.488,16.667,1562,999.68,1.82,1129.395,7.68
174,Kodair,78.27434,16.26962,1972,1262.08,0.69,3698.215,8.64
175,Kollapur,78.306,16.107,3860,2470.4,0.45,3521.055,8.15
176,Ambatipally,78.446,16.277,1758,1125.12,1.51,128.441,8.63
177,Nagarkurnool,78.30262,16.49174,934,597.76,1.81,4938.335,8.59
178,Telkapally,78.44031,16.43509,1478,945.92,1.58,8.858,9.06
179,Gummakonda,78.19,16.6224,1669,1068.16,0.83,221.45,8.52
180,Uppununthala,78.59133,16.45002,1481,947.84,0.42,115.154,8.55
181,Veldanda,78.5211,16.73106,838,536.32,0.98,775.075,8.65
182,Ulsaipalem,79.4997,16.70682,985,630.4,1.25,1180.329,8.1
183,Anumula,79.28955,16.79879,1846,1181.44,5.22,1346.416,8.64
184,Chintagudem,79.29209,16.83309,1347,862.08,1.48,1822.534,8.93
185,Rajavaram,79.40751,16.68016,1300,832,348,659.921,8.08
186,Sreerampur,79.30464,16.72911,1143,731.52,988,5673.549,8.49
187,Chandampet,78.88836,16.57848,1886,1207.04,1.21,66.435,7.3
188,Angadipet,79.01842,16.98408,2510,1606.4,2.56,1946.546,8.56
189,Bangarigadda,79.01136,16.98467,1320,844.8,3.02,2462.524,8.1
190,Chandur,79.0601,16.9681,1010,646.4,1.55,128.441,8.01
191,Sirdepally,79.06308,17.01489,2430,1555.2,1.41,2641.899,8.93
192,Veliminedu,79.02017,17.22892,1482,948.48,0.71,1492.573,8.14
193,Padamtipally,78.79738,16.67664,610,390.4,1.08,1302.126,9.02
194,Tatikole,78.85665,16.62524,908,581.12,2.48,1700.736,8.66
195,Vavikole,78.76505,16.67579,2320,1484.8,4.17,159.444,8.18
196,Gurrampode,79.09138,16.85171,1101,704.64,333,1204.688,7.91
197,Koppole,79.14688,16.91462,864,552.96,655,349.891,8
198,K.Mallepally,78.98103,16.72939,2290,1465.6,532,3326.179,8.09
199,kanagala,79.19843,16.93734,1343,859.52,641,3932.952,8.23
200,Cheruvu Annaram,79.35425,17.19865,1941,1242.24,305,3162.306,7.87
201,Kattangur,79.3203,17.16189,2490,1593.6,1.4,3653.925,8.26
202,Marriguda,78.86381,16.93992,1388,888.32,2.94,1038.601,8.27
203,Kistapur,79.01703,17.15625,1590,1017.6,1.77,1286.625,8.53
204,Kompalli,78.99372,17.09931,603,385.92,529,283.456,8.06
205,Arlagaddagudam,79.40064,17.13911,1432,916.48,0.65,2655.186,8.61
206,Nakrekal,79.42098,17.15934,1334,853.76,481,3197.738,8.09
207,Vallabhapur,79.4799,17.23895,2180,1395.2,291,1862.395,7.92
208,Mushampally,79.32478,16.97492,1215,777.6,1.04,2821.273,8.28
209,S L B C G V guda,79.30091,17.06018,1049,671.36,1.76,1722.881,8.16
210,Seetarampuram,79.21675,17.11031,1541,986.24,422,1359.703,8.2
211,Akkenepally,79.23565,17.29008,2400,1536,2.08,571.341,8.75
212,Narketpalli,79.19131,17.20025,811,519.04,3.66,44,8.03
213,Nidamanur,79.28528,16.84,2260,1446.4,1.15,2354.014,8.08
214,Angadipet,79.08447,16.71656,1624,1039.36,451,1636.516,7.96
215,Velmaguda,79.18302,16.77852,1340,857.6,2.91,9721.655,8.24
216,P.Kondaram,79.42306,17.24944,2590,1657.6,989,1392.921,8.45
217,Thipparthy,79.41831,17.01375,1294,828.16,1.34,3554.273,8.9
218,Mamidala,79.465,17.06521,4180,2675.2,705,7872.548,8.15
219,Kosigi,77.70551,16.98463,1890,1209.6,0.55,2635.255,7.95
220,Maddur,77.607,16.857,1183,757.12,0.75,513.764,7.63
221,Makthal,77.5001,16.50052,1380,883.2,1.14,39.861,8.59
222,Marikal,77.69817,16.59204,1870,1196.8,0.99,7817.185,8.3
223,Kollampally,77.61689,16.66794,1030,659.2,2.53,159.444,8.98
224,Kotakonda,77.6378,16.754,2480,1587.2,0.49,3299.605,7.77
225,Narayanapet,77.4812,16.7423,850,544,0.6,1652.017,8.52
226,Narva,77.6567,16.4706,2280,1459.2,1.59,597.915,8.51
227,Utkoor,77.5003,16.6407,1824,1167.36,0.87,8791.565,8.19
228,Chinnaporla,77.51696,16.58122,2240,1433.6,1.25,1262.265,8.39
